Working_in,involvement_software,Age,Gender,Country,Education,employment_status,Role,Number_of_employees,project_team,Meeting_interrupted,Eye_contact,Asked_question_to_another,Presented_idea,Menial_tasks,Managing,Make_necessary_decisions,Team_values,Aggressive_or_bossy,Excluded_from_social,unfairly_treated,Biggest_obstacle,Harassment,Sexism,Growth_opportunities,Fairly compensated,Start_over,More_challenging_gender,Which_gender?,Anything_else?,Summary_or_contact
Yes,6-10 years,26-35,Male,Germany,Bachelors degree,Full-time (38+ hours a week),Developer,1001 - 10.000,6 - 10,Rarely,Rarely,Rarely,Rarely,Rarely,True,Agree,Agree,no. never,no. never,The Payment on my last company was very little. team leader which do not knows what his employees does. team leader which lying in the yearly feedback round to give you a bad grade,,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Neutral,Strongly agree,Agree,Female. Non-binary,,Yes I would like to obtain a summary of the results
Yes,6-10 years,36-45,Female,Switzerland,Doctorate,Full-time (38+ hours a week),Project manager,101 - 500,1 - 5,Sometimes,Never,Very often,Sometimes,Rarely,True,Disagree,Agree,More than four times,three or four times,Not necessarily unfair in a 'traditional' understanding but I have sometimes had the feeling to be required to be louder than others in order to be listened to or considered for tasks or projects. By 'louder' I mean not only raising the voice but anything who has to do with adding more energy. e.g..   higher workload.,The 'need' to be louder (as explained above) and at the same time being told to be bossy because of being louder,I have witnessed this behaviour,I have experienced and witnessed this behaviour,Agree,Strongly disagree,Agree,Neutral,,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,3-5 years,26-35,Female,Switzerland,Doctorate,Part-time (less than 38 hours a week),Requirements engineer,10 - 100,1 - 5,Sometimes,Rarely,Rarely,Never,Never,True,Neutral,Neutral,one or two times,no. never,Yes. Recently I had a situation that some tasks are given to two developers (on a project where I am a manager) but not done. Instead of thst I send an email to express how unhappy me and my boss are. the CEO (boss of my boss) said that my boss should send the email because that gives another note. I was unhappy about that. Also in the email my boss said that I am partially the project leader. I am not sure what he meant. Knowing him and the CEO that means: you do the work but we do not pay you as a project leader. but as a requirements engineer. I've seen they do this with other people too...,"I had a situation where I was given to lead an external team (located in Poland). I was quite new in the company an never met the team in person. The troubles occured when the boss from Poland sent too high invoices to my company. Although I was not responsible for any invoicing. my boss included me and he started complaining about the Polish. Complaining means that he was constantly fighting with them and telling me every day about those fights and involving me to be on ""his side"". Soon working with the team became a real nightmare and I was off the project. while my boss quit the job. I felt bad that his innability to take decisions by himself and to deal with the external team led to such unpleasant situation for me as well.",I have witnessed this behaviour,I have experienced this behaviour,Agree,Disagree,Neutral,Strongly agree,Female,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,Less than 2 years,26-35,Female,Switzerland,Doctorate,Part-time (less than 38 hours a week),Tester,Less than 10,1 - 5,Sometimes,Sometimes,Sometimes,Rarely,Never,Untrue,Agree,Strongly agree,no. never,no. never,,,I have experienced this behaviour,I have experienced this behaviour,Neutral,Disagree,Neutral,Agree,,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,11-15 years,36-45,Male,Germany,Doctorate,Full-time (38+ hours a week),Architect,100.000+,6 - 10,Sometimes,Never,Rarely,Never,Never,True,Strongly agree,Agree,no. never,no. never,,Convincing experienced non-IT colleagues of structured knowledge sharing approaches like models or templates for requirements.,I haven't experienced or witnessed this behaviour,I have witnessed this behaviour,Strongly agree,Strongly agree,Strongly agree,Disagree,,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,11-15 years,26-35,Female,Bulgaria,Bachelors degree,Full-time (38+ hours a week),scrum master,101 - 500,6 - 10,Sometimes,Rarely,Rarely,Rarely,Always,True,Strongly disagree,Disagree,one or two times,no. never,,,I haven't experienced or witnessed this behaviour,I have witnessed this behaviour,Disagree,Neutral,Agree,Strongly agree,Female,,Yes I would like to obtain a summary of the results
Yes,6-10 years,26-35,Female,Bulgaria,High school degree or equivalent,Full-time (38+ hours a week),Developer,101 - 500,6 - 10,Sometimes,Never,Rarely,Never,Rarely,Untrue,Agree,Agree,one or two times,one or two times,Only in terms of an internal employee vs. an external contractor. As an external the expected work is the same but sometimes the information given or opinion considered is less than as internal.,Lack of well-defined processes and well-structured documentation in terms of work organisation. business logic and code implementation.,I have experienced this behaviour,I have experienced this behaviour,Strongly agree,Agree,Agree,Neutral,,Good luck with your research and thank wonderful Hoda for helping you out. ( :,Yes I would like to obtain a summary of the results
Yes,21+ years,56-65,Male,United States,Doctorate,Full-time (38+ hours a week),Architect,10 - 100,16 - 20,Sometimes,Rarely,Very often,Never,Sometimes,True,Neutral,Agree,More than four times,one or two times,,Managers who decide to deliver software that is not of sufficient quality for its intended use. when I think that it is the professional responsibility of a software engineer to not deliver such software.,I have witnessed this behaviour,I have witnessed this behaviour,Strongly agree,Strongly agree,Strongly agree,Neutral,,,no thank you
Yes,6-10 years,36-45,Male,Germany,Doctorate,Full-time (38+ hours a week),Project manager,10 - 100,1 - 5,Sometimes,Never,Rarely,Rarely,Rarely,True,Strongly agree,Strongly agree,no. never,no. never,,,I have witnessed this behaviour,I have witnessed this behaviour,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Female. Non-binary,,no thank you
Yes,3-5 years,36-45,Male,Argentina,Doctorate,Part-time (less than 38 hours a week),Developer,10 - 100,6 - 10,Rarely,Very often,Sometimes,Never,Never,Untrue,Agree,Strongly agree,no. never,one or two times,yes. I always felt that our system was more important and with more privileges than the other systems,the biggest obstacle was the interaction with other technical support provided by other company. their solutions weren't useful solutions,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Strongly agree,Agree,Strongly disagree,,In my work. it was usual to do virtual meetings during home working,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,6-10 years,26-35,Male,Argentina,Masters degree,Part-time (less than 38 hours a week),Developer,10 - 100,1 - 5,Rarely,Never,Never,Never,Never,Untrue,Strongly agree,Strongly agree,no. never,no. never,not really,There's no one with the necessary seniority to guide us. We learn everything on our own. making it very difficult to grow. professionally speaking.,I have witnessed this behaviour,I have witnessed this behaviour,Disagree,Disagree,Strongly agree,Strongly agree,Female,The place where I work is not very nice. Is a small office without any window.,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,11-15 years,36-45,Male,Argentina,Masters degree,Part-time (less than 38 hours a week),Developer,10 - 100,6 - 10,Rarely,Rarely,Rarely,Never,Never,Untrue,Agree,Agree,no. never,no. never,no,unexpected changes,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Agree,Agree,Disagree,,no,no thank you
Yes,6-10 years,26-35,Male,Argentina,Bachelors degree,Full-time (38+ hours a week),Architect,Less than 10,1 - 5,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,True,Neutral,Neutral,one or two times,one or two times,,,I have witnessed this behaviour,I have witnessed this behaviour,Neutral,Neutral,Neutral,Neutral,,,Yes I would like to obtain a summary of the results
Yes,16-20 years,26-35,Female,Egypt,Doctorate,Full-time (38+ hours a week),Head of operations ,Less than 10,1 - 5,Very often,Rarely,Sometimes,Rarely,Sometimes,True,Strongly agree,Agree,no. never,no. never,,,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Agree,Agree,Strongly agree,Female,,no thank you
Yes,Less than 2 years,56-65,Male,Netherlands,Bachelors degree,Full-time (38+ hours a week),Developer,10.000 - 100.000,11 - 15,Rarely,Rarely,Never,Never,Never,Untrue,Agree,Agree,no. never,no. never,no. first job.,Education,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Disagree,Agree,Neutral,,No,no thank you
Yes,6-10 years,36-45,Male,Germany,High school degree or equivalent,Full-time (38+ hours a week),Developer,101 - 500,1 - 5,Rarely,Never,Never,Never,Never,True,Agree,Agree,no. never,no. never,Never,Not to do too much overtime. Partly caused by my self. as it was too much fun to work.,I have witnessed this behaviour,I have witnessed this behaviour,Agree,Agree,Strongly agree,Disagree,,,no thank you
Yes,11-15 years,26-35,Male,Argentina,High school degree or equivalent,Full-time (38+ hours a week),IT Specialist - Application Support/Server Maintenance - Assurance,1001 - 10.000,6 - 10,Rarely,Never,Sometimes,Never,Never,Untrue,Agree,Strongly agree,no. never,no. never,Yes. Specifically on salary terms and career oportunities. My skills have differed many times from my salary.,True career oportunities. apart from common promises.,I haven't experienced or witnessed this behaviour,I have experienced and witnessed this behaviour,Neutral,Disagree,Neutral,Disagree,,,no thank you
Yes,Less than 2 years,18-25,Male,Argentina,Bachelors degree,Full-time (38+ hours a week),Developer,Less than 10,1 - 5,Sometimes,Never,Never,Never,Rarely,Untrue,Neutral,Agree,no. never,no. never,,,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Agree,Strongly agree,Agree,Female. Non-binary,,Yes I would like to obtain a summary of the results
Yes,6-10 years,36-45,Female,Netherlands,Masters degree,Full-time (38+ hours a week),Designer,501 - 1000,16 - 20,Sometimes,Sometimes,Rarely,Very often,Never,True,Agree,Agree,one or two times,three or four times,Shielded from important grow opportunity. threatened not to live to take it and then asked to resign,,I have experienced this behaviour,I have experienced this behaviour,Neutral,Strongly disagree,Neutral,Agree,Female,,no thank you
